invoice_number,order_date,invoice_date,order_number,supplier_name,laptop_model,processor,ram,storage,model_color,screen_size,laptop_os,laptop_os_version,laptop_serial_number,warranty_duration,laptop_price
HYD8-1345061,26-09-2024,26-09-2024,403-0151201-6865928,CLICKTECH RETAIL PRIVATE LIMITED,MacBook Air,M1,8GB,256GB SSD,Space Grey,13.3-inch,,,,,44906.78
HYD8-1345061,26-09-2024,26-09-2024,403-0151201-6865928,CLICKTECH RETAIL PRIVATE LIMITED,MacBook Air,M1,8GB,256GB SSD,Space Grey,13.3-inch,,,,,44906.78
HYD8-1345061,26-09-2024,26-09-2024,403-0151201-6865928,CLICKTECH RETAIL PRIVATE LIMITED,MacBook Air,M1,8GB,256GB SSD,Space Grey,13.3-inch,,,,,44906.78
HYD8-1345061,26-09-2024,26-09-2024,403-0151201-6865928,CLICKTECH RETAIL PRIVATE LIMITED,MacBook Air,M1,8GB,256GB SSD,Space Grey,13.3-inch,,,,,44906.78
FAAOZK2200001887,02-04-2021,04-04-2021,OD121420552428604000,Sane Retails Private Limited,MacBook Air,i5 5th Gen,8GB,128GB SSD,,,Mac OS Sierra,,SFVFDL811J1WK,12.0,67640.0
